Dataset,Model,EOG Clean mean,EOG Clean std,EOG Stressed mean,EOG Stressed std,EOG Increase
Adult Income,LR,0.241255,0.019544,0.162681,0.018162,-0.078574
Adult Income,RF,0.087293,0.027336,0.064403,0.035723,-0.02289
Adult Income,XGB,0.070579,0.026273,0.060363,0.028049,-0.010216
Adult Income,LGB,0.074078,0.027003,0.057169,0.028681,-0.016909
Adult Income,MLP,0.163163,0.057504,0.11844,0.060891,-0.044723
COMPAS,LR,-0.263635,0.031399,-0.2234,0.04402,0.040235
COMPAS,RF,-0.149042,0.03107,-0.129393,0.028826,0.019649
COMPAS,XGB,-0.19386,0.036427,-0.167011,0.029551,0.02685
COMPAS,LGB,-0.21676,0.027478,-0.180842,0.034934,0.035918
COMPAS,MLP,-0.251581,0.025095,-0.210942,0.041108,0.040639
Taiwan Credit,LR,0.010379,0.009123,0.008855,0.016396,-0.001525
Taiwan Credit,RF,0.0143,0.019494,0.009899,0.023296,-0.004401
Taiwan Credit,XGB,0.01376,0.017948,0.005379,0.021022,-0.008381
Taiwan Credit,LGB,0.017857,0.019353,0.010343,0.023486,-0.007514
Taiwan Credit,MLP,0.024911,0.020841,0.012867,0.020399,-0.012044
