dataset,model,seed,masking_gap
COMPAS,RF,42,-0.027084
COMPAS,MLP,42,0.013584
COMPAS,RF,123,0.015865
COMPAS,MLP,123,0.039267
COMPAS,RF,456,-0.017748
COMPAS,MLP,456,0.031628
COMPAS,RF,1,-0.005041
COMPAS,MLP,1,0.021838
COMPAS,RF,7,-0.017003
COMPAS,MLP,7,0.007526
COMPAS,RF,13,-0.011328
COMPAS,MLP,13,0.037346
COMPAS,RF,21,0.00993
COMPAS,MLP,21,0.025514
COMPAS,RF,37,0.042586
COMPAS,MLP,37,0.060937
COMPAS,RF,55,0.032525
COMPAS,MLP,55,0.042692
COMPAS,RF,99,0.024168
COMPAS,MLP,99,0.012634
COMPAS,RF,200,-0.007576
COMPAS,MLP,200,0.034722
COMPAS,RF,201,0.010128
COMPAS,MLP,201,0.056408
COMPAS,RF,202,-0.0121
COMPAS,MLP,202,0.04402
COMPAS,RF,203,-0.004434
COMPAS,MLP,203,0.005036
COMPAS,RF,204,-0.00665
COMPAS,MLP,204,0.016246
COMPAS,RF,205,0.039987
COMPAS,MLP,205,0.043882
COMPAS,RF,206,0.033935
COMPAS,MLP,206,0.064635
COMPAS,RF,207,-0.009427
COMPAS,MLP,207,0.042291
COMPAS,RF,208,-0.008291
COMPAS,MLP,208,-0.001894
COMPAS,RF,209,0.002383
COMPAS,MLP,209,0.039963
COMPAS,RF,210,0.013595
COMPAS,MLP,210,0.053706
COMPAS,RF,211,-0.014713
COMPAS,MLP,211,0.022354
COMPAS,RF,212,-0.004585
COMPAS,MLP,212,0.022955
COMPAS,RF,213,0.023948
COMPAS,MLP,213,0.054133
COMPAS,RF,214,-0.028721
COMPAS,MLP,214,0.026487
COMPAS,RF,215,-0.011183
COMPAS,MLP,215,0.033317
COMPAS,RF,216,0.026895
COMPAS,MLP,216,-0.060986
COMPAS,RF,217,-0.005735
COMPAS,MLP,217,0.043499
COMPAS,RF,218,0.01099
COMPAS,MLP,218,-0.003413
COMPAS,RF,219,0.012402
COMPAS,MLP,219,0.013007
