dataset,model,n_seeds,mean_fmg,bootstrap_ci95_low,bootstrap_ci95_high,interval_scope
Adult Income,LGB,10,0.0953354,0.08743738000000001,0.1038497,descriptive repeated-seed benchmark
Adult Income,MLP,10,0.0383294,0.0268801875,0.0490269625,descriptive repeated-seed benchmark
Adult Income,RF,10,0.0907493,0.0764128875,0.10312444750000001,descriptive repeated-seed benchmark
Adult Income,XGB,10,0.0971128,0.08743318000000001,0.10607926749999998,descriptive repeated-seed benchmark
COMPAS,LGB,10,0.0010046999999999996,-0.0154020525,0.019155624999999992,descriptive repeated-seed benchmark
COMPAS,MLP,10,0.029296599999999996,0.019983665000000005,0.0390888675,descriptive repeated-seed benchmark
COMPAS,RF,10,0.004686999999999999,-0.008957557500000001,0.01892455,descriptive repeated-seed benchmark
COMPAS,XGB,10,-0.006015500000000002,-0.025063215000000003,0.015798902499999993,descriptive repeated-seed benchmark
Taiwan Credit,LGB,10,0.0727543,0.06867207,0.07881285000000002,descriptive repeated-seed benchmark
Taiwan Credit,MLP,10,0.07006799999999999,0.06620377499999999,0.0739599325,descriptive repeated-seed benchmark
Taiwan Credit,RF,10,0.0812238,0.07604599749999999,0.0882485,descriptive repeated-seed benchmark
Taiwan Credit,XGB,10,0.065782,0.05974805750000001,0.07168464499999999,descriptive repeated-seed benchmark
