dataset,imputer,rate,masking_gap,accuracy,recall_g0
Adult Income,Simple,0.1,0.022332,0.849729,0.567039
Adult Income,KNN,0.1,0.036372,0.852595,0.555866
Adult Income,MICE,0.1,0.059259,0.850343,0.530726
Adult Income,Simple,0.2,0.073241,0.839185,0.505587
Adult Income,KNN,0.2,0.090586,0.842563,0.49162
Adult Income,MICE,0.2,0.144127,0.837445,0.432961
COMPAS,Simple,0.1,-0.013764,0.641414,0.675824
COMPAS,KNN,0.1,-0.00947,0.642045,0.672161
COMPAS,MICE,0.1,-0.018752,0.638258,0.677656
COMPAS,Simple,0.2,-0.027084,0.626263,0.673993
COMPAS,KNN,0.2,-0.017295,0.626894,0.664835
COMPAS,MICE,0.2,-0.029297,0.633207,0.68315
