dataset,seed,rate,mg_mcar,mg_mar,ratio
Adult Income,42,0.1,0.022332,0.11672,5.226483
Adult Income,42,0.2,0.073241,0.240855,3.288506
Adult Income,123,0.1,0.022001,0.093703,4.259082
Adult Income,123,0.2,0.043285,0.172307,3.980738
Adult Income,456,0.1,0.062203,0.10737,1.726138
Adult Income,456,0.2,0.100634,0.23586,2.343737
Adult Income,1,0.1,0.044314,0.090675,2.0462
Adult Income,1,0.2,0.120661,0.203474,1.686325
Adult Income,7,0.1,0.04005,0.09996,2.495883
Adult Income,7,0.2,0.102684,0.215237,2.096103
Adult Income,13,0.1,0.036257,0.123211,3.398301
Adult Income,13,0.2,0.104937,0.256768,2.446888
Adult Income,21,0.1,0.03372,0.126872,3.762496
Adult Income,21,0.2,0.07818,0.225889,2.889358
Adult Income,37,0.1,0.032154,0.133866,4.163255
Adult Income,37,0.2,0.074752,0.215169,2.878446
Adult Income,55,0.1,0.041803,0.088654,2.120763
Adult Income,55,0.2,0.100517,0.22911,2.279304
Adult Income,99,0.1,0.043695,0.114191,2.61338
Adult Income,99,0.2,0.108602,0.224205,2.064469
Taiwan Credit,42,0.1,0.041389,0.045302,1.094535
Taiwan Credit,42,0.2,0.081334,0.107564,1.322502
Taiwan Credit,123,0.1,0.037786,0.071793,1.900021
Taiwan Credit,123,0.2,0.070854,0.130456,1.841186
Taiwan Credit,456,0.1,0.050152,0.053432,1.0654
Taiwan Credit,456,0.2,0.087829,0.108029,1.230001
Taiwan Credit,1,0.1,0.056953,0.063593,1.1166
Taiwan Credit,1,0.2,0.108475,0.115007,1.060216
Taiwan Credit,7,0.1,0.046844,0.074403,1.588303
Taiwan Credit,7,0.2,0.077308,0.137533,1.779033
Taiwan Credit,13,0.1,0.03819,0.071349,1.868246
Taiwan Credit,13,0.2,0.078032,0.132643,1.699858
Taiwan Credit,21,0.1,0.046557,0.067287,1.445273
Taiwan Credit,21,0.2,0.080041,0.113809,1.42188
Taiwan Credit,37,0.1,0.038957,0.040846,1.048486
Taiwan Credit,37,0.2,0.077316,0.076385,0.98795
Taiwan Credit,55,0.1,0.036045,0.058877,1.633433
Taiwan Credit,55,0.2,0.072547,0.111174,1.532426
Taiwan Credit,99,0.1,0.051474,0.054416,1.057167
Taiwan Credit,99,0.2,0.078502,0.123424,1.57224
