dataset,model,seed,rate,accuracy,recall_g0,recall_g1,masking_gap,exploratory
Adult Income,LR,42,0.0,0.823012,0.215084,0.471414,0.0,False
Adult Income,LR,42,0.05,0.821271,0.217877,0.443831,-0.004533,False
Adult Income,LR,42,0.1,0.81861,0.223464,0.419258,-0.012782,False
Adult Income,LR,42,0.2,0.810216,0.195531,0.355567,0.006757,False
Adult Income,RF,42,0.0,0.858123,0.597765,0.62989,0.0,False
Adult Income,RF,42,0.05,0.854233,0.592179,0.597292,0.001697,False
Adult Income,RF,42,0.1,0.849729,0.567039,0.5667,0.022332,False
Adult Income,RF,42,0.2,0.839185,0.505587,0.494985,0.073241,False
Adult Income,XGB,42,0.0,0.872863,0.634078,0.673019,0.0,False
Adult Income,XGB,42,0.05,0.869792,0.620112,0.643932,0.010896,False
Adult Income,XGB,42,0.1,0.863753,0.586592,0.60682,0.038376,False
Adult Income,XGB,42,0.2,0.849012,0.51676,0.523069,0.093467,False
Adult Income,LGB,42,0.0,0.875115,0.636872,0.664493,0.0,False
Adult Income,LGB,42,0.05,0.870509,0.614525,0.630391,0.01774,False
Adult Income,LGB,42,0.1,0.863241,0.589385,0.589268,0.035612,False
Adult Income,LGB,42,0.2,0.850241,0.49162,0.507523,0.120377,False
Adult Income,MLP,42,0.0,0.84891,0.458101,0.565196,0.0,False
Adult Income,MLP,42,0.05,0.844508,0.460894,0.540622,-0.007195,False
Adult Income,MLP,42,0.1,0.83939,0.444134,0.512538,0.004447,False
Adult Income,MLP,42,0.2,0.827618,0.391061,0.443831,0.045747,False
Adult Income,LR,123,0.0,0.821476,0.233728,0.475174,0.0,False
Adult Income,LR,123,0.05,0.816358,0.221893,0.443893,0.006716,False
Adult Income,LR,123,0.1,0.812366,0.210059,0.414101,0.014558,False
Adult Income,LR,123,0.2,0.805917,0.198225,0.357994,0.019944,False
Adult Income,RF,123,0.0,0.857713,0.517751,0.63853,0.0,False
Adult Income,RF,123,0.05,0.852595,0.505917,0.605263,0.006716,False
Adult Income,RF,123,0.1,0.84717,0.485207,0.572989,0.022001,False
Adult Income,RF,123,0.2,0.83591,0.452663,0.504965,0.043285,False
Adult Income,XGB,123,0.0,0.873375,0.56213,0.681231,0.0,False
Adult Income,XGB,123,0.05,0.867745,0.547337,0.649454,0.009163,False
Adult Income,XGB,123,0.1,0.861808,0.526627,0.619662,0.023936,False
Adult Income,XGB,123,0.2,0.845429,0.467456,0.542701,0.066729,False
Adult Income,LGB,123,0.0,0.870816,0.565089,0.658391,0.0,False
Adult Income,LGB,123,0.05,0.864265,0.547337,0.622145,0.0112,False
Adult Income,LGB,123,0.1,0.859556,0.505917,0.599801,0.047911,False
Adult Income,LGB,123,0.2,0.847579,0.467456,0.533267,0.074396,False
Adult Income,MLP,123,0.0,0.847886,0.402367,0.580437,0.0,False
Adult Income,MLP,123,0.05,0.843996,0.399408,0.555611,-0.000931,False
Adult Income,MLP,123,0.1,0.837547,0.363905,0.530288,0.028123,False
Adult Income,MLP,123,0.2,0.825775,0.33432,0.468719,0.045937,False
Adult Income,LR,456,0.0,0.822193,0.204142,0.460775,0.0,False
Adult Income,LR,456,0.05,0.819429,0.189349,0.432473,0.012029,False
Adult Income,LR,456,0.1,0.814925,0.180473,0.401688,0.016401,False
Adult Income,LR,456,0.2,0.807862,0.162722,0.351043,0.027089,False
Adult Income,RF,456,0.0,0.85454,0.529586,0.620655,0.0,False
Adult Income,RF,456,0.05,0.851162,0.488166,0.595333,0.038042,False
Adult Income,RF,456,0.1,0.845737,0.45858,0.567527,0.062203,False
Adult Income,RF,456,0.2,0.836831,0.411243,0.496028,0.100634,False
Adult Income,XGB,456,0.0,0.872761,0.609467,0.662363,0.0,False
Adult Income,XGB,456,0.05,0.868973,0.571006,0.63853,0.034674,False
Adult Income,XGB,456,0.1,0.864265,0.550296,0.609235,0.050675,False
Adult Income,XGB,456,0.2,0.851776,0.473373,0.544191,0.11511,False
Adult Income,LGB,456,0.0,0.874501,0.585799,0.663357,0.0,False
Adult Income,LGB,456,0.05,0.868769,0.550296,0.635551,0.029771,False
Adult Income,LGB,456,0.1,0.861808,0.523669,0.600298,0.049437,False
Adult Income,LGB,456,0.2,0.850752,0.473373,0.531281,0.088677,False
Adult Income,MLP,456,0.0,0.842666,0.316568,0.554121,0.0,False
Adult Income,MLP,456,0.05,0.83939,0.313609,0.538729,-0.000317,False
Adult Income,MLP,456,0.1,0.834988,0.319527,0.517378,-0.010636,False
Adult Income,MLP,456,0.2,0.824342,0.289941,0.479146,0.008304,False
Adult Income,LR,1,0.0,0.819429,0.232836,0.465047,0.0,False
Adult Income,LR,1,0.05,0.817382,0.226866,0.438275,0.003923,False
Adult Income,LR,1,0.1,0.816767,0.226866,0.415964,0.003309,False
Adult Income,LR,1,0.2,0.81083,0.214925,0.364898,0.009312,False
Adult Income,RF,1,0.0,0.857816,0.540299,0.640555,0.0,False
Adult Income,RF,1,0.05,0.854438,0.510448,0.614279,0.026473,False
Adult Income,RF,1,0.1,0.848398,0.486567,0.580565,0.044314,False
Adult Income,RF,1,0.2,0.835193,0.397015,0.503223,0.120661,False
Adult Income,XGB,1,0.0,0.868871,0.602985,0.66237,0.0,False
Adult Income,XGB,1,0.05,0.864367,0.564179,0.637581,0.034302,False
Adult Income,XGB,1,0.1,0.85843,0.534328,0.607338,0.058216,False
Adult Income,XGB,1,0.2,0.848807,0.474627,0.546852,0.108295,False
Adult Income,LGB,1,0.0,0.872351,0.567164,0.673773,0.0,False
Adult Income,LGB,1,0.05,0.868769,0.546269,0.648488,0.017313,False
Adult Income,LGB,1,0.1,0.861603,0.513433,0.618245,0.042983,False
Adult Income,LGB,1,0.2,0.852083,0.453731,0.559246,0.093165,False
Adult Income,MLP,1,0.0,0.847681,0.465672,0.592464,0.0,False
Adult Income,MLP,1,0.05,0.843177,0.447761,0.567675,0.013406,False
Adult Income,MLP,1,0.1,0.838571,0.450746,0.543877,0.005815,False
Adult Income,MLP,1,0.2,0.829563,0.41791,0.490332,0.029643,False
Adult Income,LR,7,0.0,0.820248,0.227027,0.478305,0.0,False
Adult Income,LR,7,0.05,0.818508,0.224324,0.452573,0.000963,False
Adult Income,LR,7,0.1,0.815232,0.216216,0.426842,0.005795,False
Adult Income,LR,7,0.2,0.809909,0.186486,0.370333,0.030202,False
Adult Income,RF,7,0.0,0.852697,0.510811,0.636731,0.0,False
Adult Income,RF,7,0.05,0.847989,0.491892,0.602926,0.01421,False
Adult Income,RF,7,0.1,0.844099,0.462162,0.569627,0.04005,False
Adult Income,RF,7,0.2,0.83376,0.389189,0.502018,0.102684,False
Adult Income,XGB,7,0.0,0.866005,0.567568,0.667003,0.0,False
Adult Income,XGB,7,0.05,0.861194,0.548649,0.637235,0.014108,False
Adult Income,XGB,7,0.1,0.857406,0.537838,0.609485,0.021131,False
Adult Income,XGB,7,0.2,0.84502,0.451351,0.53885,0.095231,False
Adult Income,LGB,7,0.0,0.871021,0.581081,0.678103,0.0,False
Adult Income,LGB,7,0.05,0.865902,0.551351,0.64783,0.024611,False
Adult Income,LGB,7,0.1,0.861398,0.535135,0.612513,0.036324,False
Adult Income,LGB,7,0.2,0.848193,0.451351,0.539354,0.106902,False
Adult Income,MLP,7,0.0,0.837752,0.297297,0.572149,0.0,False
Adult Income,MLP,7,0.05,0.836524,0.291892,0.557013,0.004177,False
Adult Income,MLP,7,0.1,0.832327,0.275676,0.5333,0.016196,False
Adult Income,MLP,7,0.2,0.822807,0.254054,0.485368,0.028298,False
Adult Income,LR,13,0.0,0.821169,0.229167,0.445933,0.0,False
Adult Income,LR,13,0.05,0.817791,0.223214,0.419643,0.002574,False
Adult Income,LR,13,0.1,0.813492,0.21131,0.391369,0.01018,False
Adult Income,LR,13,0.2,0.806224,0.1875,0.334325,0.026721,False
Adult Income,RF,13,0.0,0.857099,0.574405,0.625992,0.0,False
Adult Income,RF,13,0.05,0.851059,0.550595,0.590278,0.01777,False
Adult Income,RF,13,0.1,0.845737,0.526786,0.551587,0.036257,False
Adult Income,RF,13,0.2,0.837036,0.449405,0.489583,0.104937,False
Adult Income,XGB,13,0.0,0.870713,0.60119,0.660714,0.0,False
Adult Income,XGB,13,0.05,0.864367,0.577381,0.629464,0.017463,False
Adult Income,XGB,13,0.1,0.857406,0.550595,0.597222,0.037288,False
Adult Income,XGB,13,0.2,0.843894,0.494048,0.53869,0.080323,False
Adult Income,LGB,13,0.0,0.872658,0.607143,0.650794,0.0,False
Adult Income,LGB,13,0.05,0.866414,0.571429,0.623016,0.02947,False
Adult Income,LGB,13,0.1,0.860068,0.550595,0.590278,0.043957,False
Adult Income,LGB,13,0.2,0.84891,0.497024,0.52629,0.08637,False
Adult Income,MLP,13,0.0,0.846146,0.494048,0.590278,0.0,False
Adult Income,MLP,13,0.05,0.841642,0.479167,0.56746,0.010377,False
Adult Income,MLP,13,0.1,0.835398,0.455357,0.532738,0.027942,False
Adult Income,MLP,13,0.2,0.827516,0.41369,0.474702,0.061727,False
