Dataset,Model,Acc Drop mean,Acc Drop std,Recall Drop mean,Recall Drop std,MG mean,MG std,p1 (Test1),p2 (MG test),MG Cohen's dz,Sig (alpha=0.0167),Sig (alpha=0.0042),Significant,Main
Adult Income,LR,0.013133,0.002249,0.032633,0.009452,0.0195,0.009076,0.000977,0.000977,2.148562,True,True,Explor. only,False
Adult Income,RF,0.020258,0.002064,0.111007,0.022828,0.090749,0.022909,0.000977,0.000977,3.961228,True,True,Yes,True
Adult Income,XGB,0.023585,0.002677,0.120698,0.014114,0.097113,0.016047,0.000977,0.000977,6.051607,True,True,Yes,True
Adult Income,LGB,0.02381,0.001848,0.119146,0.014607,0.095336,0.01413,0.000977,0.000977,6.746804,True,True,Yes,True
Adult Income,MLP,0.019009,0.002772,0.057338,0.018491,0.038329,0.019006,0.000977,0.000977,2.016675,True,True,Yes,True
COMPAS,LR,0.020013,0.00322,0.028246,0.013052,0.008234,0.013326,0.000977,0.041992,0.617855,False,False,Explor. only,False
COMPAS,RF,0.024179,0.012887,0.028866,0.033681,0.004687,0.023752,0.018555,0.347656,0.197332,False,False,No,True
COMPAS,XGB,0.027525,0.006308,0.02151,0.03579,-0.006015,0.035492,0.052734,0.78418,-0.169484,False,False,No,True
COMPAS,LGB,0.026641,0.008406,0.027646,0.03269,0.001005,0.029917,0.00293,0.652344,0.03358,False,False,No,True
COMPAS,MLP,0.022096,0.00815,0.051392,0.022687,0.029296,0.016393,0.000977,0.000977,1.787101,True,True,Yes,True
Taiwan Credit,LR,0.008322,0.001331,0.062669,0.008501,0.054347,0.007918,0.000977,0.000977,6.863464,True,True,Explor. only,False
Taiwan Credit,RF,0.004189,0.002654,0.085413,0.011445,0.081224,0.010639,0.000977,0.000977,7.634591,True,True,Yes,True
Taiwan Credit,XGB,0.006844,0.001637,0.072627,0.010928,0.065782,0.010261,0.000977,0.000977,6.41065,True,True,Yes,True
Taiwan Credit,LGB,0.007533,0.002325,0.080288,0.009418,0.072754,0.009066,0.000977,0.000977,8.024672,True,True,Yes,True
Taiwan Credit,MLP,0.007522,0.000979,0.07759,0.006484,0.070068,0.006607,0.000977,0.000977,10.605557,True,True,Yes,True
German Credit,LR,0.002333,0.013882,0.002492,0.017515,0.000158,0.01663,0.21875,0.539062,0.00952,False,False,Explor. only,False
German Credit,RF,0.038667,0.019889,0.044228,0.037936,0.005561,0.026646,0.005859,0.384766,0.208704,False,False,Explor. only,False
German Credit,XGB,0.047333,0.019551,0.066,0.038044,0.018667,0.033554,0.001953,0.052734,0.556314,False,False,Explor. only,False
German Credit,LGB,0.034667,0.020012,0.084915,0.047073,0.050248,0.033704,0.000977,0.000977,1.490862,True,True,Explor. only,False
German Credit,MLP,0.000333,0.003991,0.0,0.0,-0.000333,0.003991,1.0,0.75,-0.083527,False,False,Explor. only,False
