dataset,seed,exploratory,focus_group,subgroup_total,positive_label_count,negative_label_count,positive_label_rate,recall_denominator,no_positive_labels
Adult Income,42,False,sensitive_attribute == 0,3199,358,2841,0.11190997186620819,358,False
Adult Income,123,False,sensitive_attribute == 0,3169,338,2831,0.10665825181445251,338,False
Adult Income,456,False,sensitive_attribute == 0,3249,338,2911,0.10403200984918437,338,False
Adult Income,1,False,sensitive_attribute == 0,3227,335,2892,0.10381158971180664,335,False
Adult Income,7,False,sensitive_attribute == 0,3257,370,2887,0.11360147374884863,370,False
Adult Income,13,False,sensitive_attribute == 0,3196,336,2860,0.10513141426783479,336,False
Adult Income,21,False,sensitive_attribute == 0,3224,363,2861,0.11259305210918114,363,False
Adult Income,37,False,sensitive_attribute == 0,3234,353,2881,0.10915275200989487,353,False
Adult Income,55,False,sensitive_attribute == 0,3256,345,2911,0.10595823095823095,345,False
Adult Income,99,False,sensitive_attribute == 0,3209,330,2879,0.10283577438454347,330,False
COMPAS,42,False,sensitive_attribute == 0,955,546,409,0.5717277486910994,546,False
COMPAS,123,False,sensitive_attribute == 0,958,527,431,0.5501043841336117,527,False
COMPAS,456,False,sensitive_attribute == 0,957,533,424,0.5569487983281086,533,False
COMPAS,1,False,sensitive_attribute == 0,960,548,412,0.5708333333333333,548,False
COMPAS,7,False,sensitive_attribute == 0,948,530,418,0.5590717299578059,530,False
COMPAS,13,False,sensitive_attribute == 0,968,533,435,0.5506198347107438,533,False
COMPAS,21,False,sensitive_attribute == 0,943,532,411,0.5641569459172853,532,False
COMPAS,37,False,sensitive_attribute == 0,958,526,432,0.5490605427974948,526,False
COMPAS,55,False,sensitive_attribute == 0,961,547,414,0.5691987513007284,547,False
COMPAS,99,False,sensitive_attribute == 0,924,510,414,0.551948051948052,510,False
Taiwan Credit,42,False,sensitive_attribute == 0,5437,1141,4296,0.209858377781865,1141,False
Taiwan Credit,123,False,sensitive_attribute == 0,5460,1138,4322,0.20842490842490843,1138,False
Taiwan Credit,456,False,sensitive_attribute == 0,5472,1161,4311,0.21217105263157895,1161,False
Taiwan Credit,1,False,sensitive_attribute == 0,5379,1128,4251,0.20970440602342444,1128,False
Taiwan Credit,7,False,sensitive_attribute == 0,5484,1121,4363,0.20441283734500365,1121,False
Taiwan Credit,13,False,sensitive_attribute == 0,5442,1120,4322,0.2058066887173833,1120,False
Taiwan Credit,21,False,sensitive_attribute == 0,5437,1106,4331,0.20342100423027404,1106,False
Taiwan Credit,37,False,sensitive_attribute == 0,5426,1170,4256,0.2156284555842241,1170,False
Taiwan Credit,55,False,sensitive_attribute == 0,5453,1117,4336,0.2048413717219879,1117,False
Taiwan Credit,99,False,sensitive_attribute == 0,5419,1092,4327,0.20151319431629452,1092,False
German Credit,42,True,sensitive_attribute == 0,96,63,33,0.65625,63,False
German Credit,123,True,sensitive_attribute == 0,93,64,29,0.6881720430107527,64,False
German Credit,456,True,sensitive_attribute == 0,86,54,32,0.627906976744186,54,False
German Credit,1,True,sensitive_attribute == 0,86,55,31,0.6395348837209303,55,False
German Credit,7,True,sensitive_attribute == 0,91,60,31,0.6593406593406593,60,False
German Credit,13,True,sensitive_attribute == 0,82,54,28,0.6585365853658537,54,False
German Credit,21,True,sensitive_attribute == 0,86,56,30,0.6511627906976745,56,False
German Credit,37,True,sensitive_attribute == 0,102,70,32,0.6862745098039216,70,False
German Credit,55,True,sensitive_attribute == 0,87,57,30,0.6551724137931034,57,False
German Credit,99,True,sensitive_attribute == 0,96,63,33,0.65625,63,False
